FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;SITIO_TURISTICO;TIPO_VISITANTE;NUMERO_VISITANTES
20260429;2019;1;ENERO;AYACUCHO;RESERVA NACIONAL PAMPA GALERAS BARBARA DE A´CHILLE;EXTRANJERO;41
20260429;2019;1;ENERO;AYACUCHO;RESERVA NACIONAL PAMPA GALERAS BARBARA DE A´CHILLE;TOTAL;211
20260429;2019;1;ENERO;AYACUCHO;SANTUARIO HISTÓRICO PAMPA DE AYACUCHO;NACIONAL;10993
20260429;2019;1;ENERO;AYACUCHO;SANTUARIO HISTÓRICO PAMPA DE AYACUCHO;EXTRANJERO;114
20260429;2019;1;ENERO;AYACUCHO;SANTUARIO HISTÓRICO PAMPA DE AYACUCHO;TOTAL;11107
20260429;2019;1;ENERO;CAJAMARCA;CENTRO ARQUEOLÓGICO VENTANILLAS DE OTUZCO;NACIONAL;7238
20260429;2019;1;ENERO;CAJAMARCA;CENTRO ARQUEOLÓGICO VENTANILLAS DE OTUZCO;EXTRANJERO;370
20260429;2019;1;ENERO;CAJAMARCA;CENTRO ARQUEOLÓGICO VENTANILLAS DE OTUZCO;TOTAL;7608
20260429;2019;1;ENERO;CAJAMARCA;COMPLEJO MONUMENTAL BELÉN;NACIONAL;8666
20260429;2019;1;ENERO;CAJAMARCA;COMPLEJO MONUMENTAL BELÉN;EXTRANJERO;423
20260429;2019;1;ENERO;CAJAMARCA;COMPLEJO MONUMENTAL BELÉN;TOTAL;9089
20260429;2019;1;ENERO;CAJAMARCA;MONUMENTO ARQUEOLÓGICO CUMBEMAYO;NACIONAL;4731
20260429;2019;1;ENERO;CAJAMARCA;MONUMENTO ARQUEOLÓGICO CUMBEMAYO;EXTRANJERO;330
20260429;2019;1;ENERO;CAJAMARCA;MONUMENTO ARQUEOLÓGICO CUMBEMAYO;TOTAL;5061
20260429;2019;1;ENERO;CAJAMARCA;SITIO ARQUEOLÓGICO KUNTUR WASI;NACIONAL;298
20260429;2019;1;ENERO;CAJAMARCA;SITIO ARQUEOLÓGICO KUNTUR WASI;EXTRANJERO;13
